batch_size	lr	frame_length	frame_shift	num_mel_bins	xent	accuracy
64	0.1	25.0	43.0	80	0.36442820778195717	88.6456628477905
64	0.2	25.0	43.0	80	0.3549899120930753	88.7684124386252
64	0.02928622049223814	24.0	24.0	116	0.34648502071455023	88.8707037643208
64	0.1	25.0	49.0	80	0.3252023811044257	89.03436988543372
64	0.1	25.0	47.0	80	0.3027082396780743	89.42307692307693
64	0.011858900569151117	54.0	53.0	25	0.3184877322222794	89.58674304418986
64	0.05	25.0	47.0	80	0.3017361983474271	89.66857610474632
64	0.05	25.0	45.0	80	0.3061434829324557	89.83224222585925
64	0.2	25.0	45.0	80	0.3180137299415138	89.83224222585925
64	0.05	25.0	43.0	80	0.3248526327360689	89.97545008183306
64	0.2	25.0	47.0	80	0.29292519401920214	90.0163666121113
64	0.2	25.0	45.0	40	0.31327832534032707	90.0163666121113
64	0.2	25.0	49.0	80	0.2991555192723895	90.07774140752865
64	0.05	25.0	49.0	80	0.30948059700788577	90.13911620294598
64	0.05	25.0	37.0	80	0.2874638964939449	90.22094926350246
64	0.2	25.0	47.0	40	0.27723059106886	90.36415711947627
64	0.1	25.0	39.0	80	0.2725148313812717	90.38461538461539
64	0.1	25.0	41.0	80	0.27832725276452264	90.60965630114566
64	0.05	25.0	49.0	40	0.28168777171887605	90.63011456628477
64	0.1	5.0	10.0	120	0.272781576243004	90.65057283142389
64	0.2	25.0	49.0	40	0.2802468657956209	90.67103109656301
64	0.05	25.0	41.0	80	0.28427784177139886	90.75286415711948
64	0.1	7.0	10.0	120	0.2757401837102971	90.75286415711948
64	0.6427122554784016	45.0	42.0	72	0.3027881211996858	90.75286415711948
64	0.05	5.0	10.0	120	0.29196342329184216	90.7733224222586
64	0.1	5.0	10.0	120	0.2783275146913879	90.79378068739771
64	0.2	25.0	43.0	40	0.28280108145687705	90.79378068739771
64	0.1	25.0	47.0	40	0.2804230927669267	90.79378068739771
64	0.2	25.0	39.0	40	0.26793318503122365	90.85515548281505
64	0.2	25.0	33.0	80	0.2896594488262838	90.95744680851064
64	0.011263018184486247	58.0	36.0	94	0.28180463744777867	91.0392798690671
64	0.2	25.0	41.0	80	0.28414371169592234	91.0392798690671
64	0.1	25.0	45.0	80	0.27242370767920626	91.22340425531915
64	0.05	25.0	35.0	80	0.24452534339883747	91.24386252045826
64	0.47590750107338625	41.0	31.0	89	0.27777902249572495	91.2847790507365
64	0.1	25.0	37.0	80	0.2705606898213767	91.30523731587562
64	0.1	25.0	35.0	80	0.25767981530368034	91.36661211129297
64	0.05	25.0	39.0	80	0.24575289322620295	91.40752864157119
64	0.2	25.0	37.0	80	0.2672804171688173	91.40752864157119
64	0.05	25.0	29.0	80	0.2506391988790235	91.46890343698854
64	0.1	13.0	10.0	120	0.26790204800032325	91.69394435351882
64	0.05	25.0	45.0	40	0.26359759167055874	91.69394435351882
64	0.2	25.0	35.0	80	0.24026326670804443	91.71440261865794
64	0.05	39.0	10.0	120	0.24888034241602702	91.73486088379705
64	0.1	25.0	45.0	40	0.26299001692088164	91.83715220949263
64	0.05	25.0	47.0	40	0.2574767189699962	91.85761047463176
64	0.05	39.0	10.0	120	0.25084722142824845	91.87806873977087
64	0.1	9.0	10.0	120	0.24855683449339244	91.93944353518822
64	0.1	25.0	39.0	40	0.2360708464524447	91.93944353518822
64	0.05	25.0	33.0	80	0.23338553840233608	91.95990180032734
64	0.05	49.0	10.0	120	0.26288143251687773	91.98036006546644
64	0.05	45.0	10.0	120	0.2622126780109468	91.98036006546644
64	0.05	7.0	10.0	120	0.24595469327223504	91.98036006546644
64	0.2	25.0	29.0	80	0.24177461423077226	91.98036006546644
64	0.1	25.0	41.0	40	0.2402780404819626	92.02127659574468
64	0.1	19.0	10.0	120	0.250510061001466	92.04173486088379
64	0.2	25.0	39.0	80	0.24610300483851652	92.04173486088379
64	0.1	25.0	49.0	40	0.2574964556397925	92.06219312602292
64	0.2	25.0	41.0	40	0.2510945036161989	92.08265139116203
64	0.1	25.0	31.0	80	0.23778102087660455	92.08265139116203
64	0.05	5.0	10.0	80	0.25447086400650687	92.12356792144027
64	0.2	25.0	31.0	80	0.23271337885324375	92.14402618657938
64	0.05	10.0	10.0	120	0.24947195646225237	92.22585924713584
64	0.20367746201986783	51.0	36.0	80	0.2536851168957119	92.22585924713584
64	0.05	47.0	10.0	120	0.24218855846941081	92.24631751227496
64	0.05	5.0	10.0	120	0.2353127151605935	92.24631751227496
64	0.05	25.0	43.0	40	0.2514364036481852	92.26677577741408
64	0.05	11.0	10.0	120	0.2431569968051965	92.32815057283142
64	0.3201997349283172	45.0	29.0	73	0.23558233014545313	92.34860883797053
64	0.1	25.0	35.0	40	0.22629125010270892	92.34860883797053
64	0.0895052400396812	56.0	33.0	83	0.22865360350427189	92.36906710310966
64	0.1	25.0	43.0	40	0.25339165940466857	92.45090016366612
64	0.1	7.0	10.0	80	0.2279620020303364	92.45090016366612
64	0.2	25.0	25.0	80	0.22633372273165245	92.51227495908347
64	0.05	25.0	37.0	40	0.22296466525823633	92.53273322422258
64	0.1	7.0	10.0	120	0.22761290481472327	92.53273322422258
64	0.05	25.0	33.0	40	0.22029290893693376	92.5531914893617
64	0.019504808135464728	37.0	32.0	21	0.2270290284612356	92.57364975450082
64	0.1	11.0	10.0	120	0.2289375960180122	92.59410801963993
64	0.05	9.0	10.0	120	0.23069128206644962	92.65548281505728
64	0.05	10.0	10.0	100	0.23146255521919407	92.6759410801964
64	0.04748798185197825	55.0	25.0	99	0.22254574826455925	92.6759410801964
64	0.1	25.0	33.0	40	0.23276597115339018	92.71685761047463
64	0.015879780159425268	54.0	38.0	49	0.22378570146651733	92.71685761047463
64	0.011664820730998863	32.0	25.0	97	0.22189716822802533	92.73731587561375
64	0.05	25.0	31.0	80	0.21809606747534369	92.75777414075287
64	0.1	25.0	21.0	40	0.20819287641229584	92.75777414075287
64	0.2	7.0	10.0	80	0.2271036408610301	92.75777414075287
64	0.1	25.0	25.0	80	0.22798628626190418	92.77823240589198
64	0.1	25.0	37.0	40	0.22266391318997528	92.7986906710311
64	0.05	25.0	31.0	40	0.2150928403594793	92.83960720130932
64	0.2	5.0	10.0	80	0.22451677858172095	92.83960720130932
64	0.05	43.0	10.0	120	0.21170964850161492	92.86006546644845
64	0.2	30.0	10.0	120	0.23555493452190573	92.86006546644845
64	0.1	25.0	29.0	80	0.21634285494508648	92.90098199672667
64	0.2	25.0	31.0	40	0.20396334725109483	92.9214402618658
64	0.2	25.0	7.0	80	0.22575972409419764	92.94189852700491
64	0.05	19.0	10.0	120	0.219557958064613	92.96235679214404
64	0.06472375458231051	27.0	16.0	101	0.20164626327136326	92.96235679214404
